year,average
1987,262.2121693121693
1988,263.36075268817206
1989,261.72834224598927
1990,262.7217616580311
1991,261.3578947368421
1992,260.3961956521739
1993,260.16052631578947
1994,261.88444444444445
1995,263.42751322751326
1996,266.361780104712
1997,267.6045918367347
1998,270.5359788359788
1999,272.45595854922277
2000,273.1683673469388
2001,279.38358974358977
2002,279.7497536945813
2003,286.565445026178
2004,287.17157360406094
2005,288.5729064039409
2006,289.49543147208124
2007,289.0766497461929
2008,287.6090909090909
2009,287.95837837837837
2010,287.5124352331606
2011,291.0887700534759
2012,290.04895833333336
2013,287.91767955801106
2014,290.0101123595506
2015,290.29783783783785
2016,290.8940860215054
2017,292.7806282722513
2018,296.6335051546392
2019,294.5820105820106
2020,297.17835051546393
2021,297.00101522842635
2022,300.4845360824742
